,Parcel_No,review,date_2016,address,add_ver,add_rev,add_corr,proptype,units,othertype,propstatus,#_stories,add_mlbox,add_house,add_marker,add_notvis,stsign_vis,streetligh,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_STEPS,MIN_PORCH,MIN_SKIRT,MIN_RAILS,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_SKIRT,Yard,condition,sidewalks,trees,junk,lit_ditch,lit_yard,lit_officials,lit_none,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,conditions,other_tot,lit_tot,ParcCount,rec_id
139,M13 118,Allison Drew,6/20/2016,0 OLD WAYNESBORO ROAD,no,613 Old Waynesboro Road,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,3-4,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1976882?filename=communitymapuga/attachments/1466449253323.jpg,http://ona.io/api/v1/files/1976881?filename=communitymapuga/attachments/1466449273805.jpg,http://ona.io/api/v1/files/1976880?filename=communitymapuga/attachments/1466449285922.jpg,None,-81.9476235,32.80729064,7,3,10,Dilapidated,0,0,1,M13 118263
140,M13 119,K,6/20/2016,706 OLD WAYNESBORO ROAD,no,607 OLd Waynesboro,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,No,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,satisfactory,poor,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1976808?filename=communitymapuga/attachments/1466449398484.jpg,http://ona.io/api/v1/files/1976810?filename=communitymapuga/attachments/1466449406499.jpg,http://ona.io/api/v1/files/1976809?filename=communitymapuga/attachments/1466449423132.jpg,None,-81.94757986,32.80715674,0,4,4,Dilapidated,1,0,1,M13 119264
141,M13 120,Allison Drew,6/20/2016,0 OLD WAYNESBORO ROAD,no,543 Old Waynesboro Road,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,Yes,No,No,yes,1-2,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,major_cleanup_,poor,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/1976883?filename=communitymapuga/attachments/1466449560877.jpg,http://ona.io/api/v1/files/1976885?filename=communitymapuga/attachments/1466449575747.jpg,http://ona.io/api/v1/files/1976884?filename=communitymapuga/attachments/1466449585695.jpg,None,-81.947541,32.80703031,4,2,6,Dilapidated,2,1,1,M13 120265
142,M13 121,K,6/20/2016,0 OLD WAYNESBORO ROAD,no,527 OLD WAYNESBORO,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,satisfactory,poor,No,Yes,Yes,No,No,No,Yes,None,http://ona.io/api/v1/files/1976819?filename=communitymapuga/attachments/1466449718298.jpg,http://ona.io/api/v1/files/1976818?filename=communitymapuga/attachments/1466449734065.jpg,http://ona.io/api/v1/files/1976817?filename=communitymapuga/attachments/1466449762566.jpg,None,-81.94748221,32.80688737,1,2,3,Dilapidated,2,0,1,M13 121266
143,M13 126,Allison Drew,6/20/2016,0 DREXEL AVENUE,no,558 HWY 25 North,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,Unknown,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,needs_to_be_mo,fair,No,No,Yes,No,No,No,Yes,None,http://ona.io/api/v1/files/1976886?filename=communitymapuga/attachments/1466450114503.jpg,http://ona.io/api/v1/files/1976888?filename=communitymapuga/attachments/1466450120638.jpg,http://ona.io/api/v1/files/1976889?filename=communitymapuga/attachments/1466450146172.jpg,http://ona.io/api/v1/files/1976887?filename=communitymapuga/attachments/1466450155322.jpg,-81.94814823,32.80671498,6,3,9,Dilapidated,1,0,1,M13 126267
144,M13 127,K,6/20/2016,602 HWY 25 NORTH,no,None,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,no,1-2,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,satisfactory,poor,No,No,Yes,No,No,No,Yes,None,http://ona.io/api/v1/files/1976827?filename=communitymapuga/attachments/1466450066935.jpg,http://ona.io/api/v1/files/1976829?filename=communitymapuga/attachments/1466450101450.jpg,http://ona.io/api/v1/files/1976828?filename=communitymapuga/attachments/1466450115201.jpg,None,-81.94815143,32.80712493,6,4,10,Dilapidated,1,0,1,M13 127268
145,M13 136,K,6/22/2016,240 BOOKER AVENUE,no,Unknown,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987009?filename=communitymapuga/attachments/1466620775940.jpg,http://ona.io/api/v1/files/1987007?filename=communitymapuga/attachments/1466620790739.jpg,http://ona.io/api/v1/files/1987008?filename=communitymapuga/attachments/1466620798373.jpg,http://ona.io/api/v1/files/1987010?filename=communitymapuga/attachments/1466620806389.jpg,-81.94625815,32.81043237,3,6,9,Dilapidated,0,0,1,M13 136269
146,M13 137,Lme,6/24/2016,484 CORBETT STREET,no,Unknown,yes,Multifamily,2,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,satisfactory,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002266?filename=communitymapuga/attachments/1466791574921.jpg,http://ona.io/api/v1/files/2002265?filename=communitymapuga/attachments/1466791584867.jpg,http://ona.io/api/v1/files/2002267?filename=communitymapuga/attachments/1466791607199.jpg,http://ona.io/api/v1/files/2002268?filename=communitymapuga/attachments/1466791613768.jpg,-81.94499767,32.80855734,7,5,12,Dilapidated,0,0,1,M13 137270
147,M14 035,Jacinda,6/21/2016,0 OLD WAYNESBORO ROAD,no,Vacant lot,no,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,overgrown__inc,n/a,No,No,No,No,No,Yes,No,None,http://ona.io/api/v1/files/1986340?filename=communitymapuga/attachments/1466548479669.jpg,None,None,None,-81.94639657,32.80647883,0,0,0,Standard,1,1,1,M14 035271
148,M14 035A,Jacinda,6/21/2016,610 OLD WAYNESBORO ROAD,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1986342?filename=communitymapuga/attachments/1466551221437.jpg,None,None,None,-81.94691453,32.80722512,0,0,0,Standard,0,0,1,M14 035A272
149,M14 035B,Jacinda,6/21/2016,0 OLD WAYNESBORO ROAD,no,Unknown ,no,Other,n/a,Garage,unknown,one,No,No,No,Yes,yes,1-2,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,needs_to_be_mo,poor,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/1986341?filename=communitymapuga/attachments/1466548707664.jpg,None,None,None,-81.94637916,32.80709793,4,4,8,Dilapidated,2,1,1,M14 035B273
150,M14 038,Jacinda ,6/20/2016,0 OLD WAYNESBORO ROAD,no,Unknown,no,church,n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,Paint running on brick,http://ona.io/api/v1/files/1985302?filename=communitymapuga/attachments/1466465284205.jpg,None,None,None,-81.94720524,32.80588711,0,0,0,Standard,0,0,1,M14 038274
151,M14 039,Robin ,6/20/2016,506 HWY 25 NORTH,yes,n/a,no,Other,n/a,Fred's ,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,major_cleanup_,poor,No,No,No,No,No,No,Yes,Parking spaces not visible ,None,None,None,None,-81.94819673,32.8057397,0,0,0,Standard,0,0,1,M14 039275
152,M14 041,Jacinda,6/20/2016,424 HWY 25 NORTH,no,Not listed,no,Other,n/a,Hotel,occupied,two,No,No,No,Yes,yes,1-2,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,satisfactory,fair,Yes,No,No,No,No,No,Yes,"Paint chipping,parking lot needs painting,",http://ona.io/api/v1/files/1985293?filename=communitymapuga/attachments/1466463456708.jpg,http://ona.io/api/v1/files/1985294?filename=communitymapuga/attachments/1466463490765.jpg,None,None,-81.94860774,32.80498511,5,2,7,Dilapidated,1,0,1,M14 041276
153,M14 042,"Jacinda
",6/20/2016,412 HWY 25 NORTH,yes,n/a,no,Other,n/a,Restaurant,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,Yes,No,No,No,No,No,Yes,Handicap sign is faded,http://ona.io/api/v1/files/1985291?filename=communitymapuga/attachments/1466462309663.jpg,http://ona.io/api/v1/files/1985292?filename=communitymapuga/attachments/1466462455825.jpg,None,None,-81.94864616,32.80452109,0,0,0,Standard,1,0,1,M14 042277
154,M14 043,Jacinda,6/20/2016,0 E ATWELL AVENUE,no,Vacant lot,no,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,major_cleanup_,n/a,No,Yes,Yes,Yes,Yes,Yes,No,Big rocks need to  removed,http://ona.io/api/v1/files/1985295?filename=communitymapuga/attachments/1466463756257.jpg,None,None,None,-81.94816129,32.80510547,0,0,0,Standard,5,3,1,M14 043278
155,M14 044,Jacinda,6/20/2016,0 E ATWELL AVENUE,no,315 East Atwell Ave,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,1-2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,major_cleanup_,poor,No,No,No,Yes,Yes,Yes,No,Needs to be demolished.,http://ona.io/api/v1/files/1985297?filename=communitymapuga/attachments/1466464027809.jpg,http://ona.io/api/v1/files/1985296?filename=communitymapuga/attachments/1466464046155.jpg,None,None,-81.94787767,32.8051694,8,7,15,Dilapidated,3,3,1,M14 044279
156,M14 045,Robin ,6/20/2016,146 E ATWELL AVENUE,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,No,No,No,yes,1-2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,major_cleanup_,poor,No,No,No,No,No,No,Yes,Exterior in decent condition ,http://ona.io/api/v1/files/1986327?filename=communitymapuga/attachments/1466463986887.jpg,http://ona.io/api/v1/files/1986328?filename=communitymapuga/attachments/1466464076419.jpg,http://ona.io/api/v1/files/1986329?filename=communitymapuga/attachments/1466464089434.jpg,None,-81.94759511,32.80523309,1,0,1,Standard,0,0,1,M14 045280
157,M14 046,Jacinda,6/20/2016,152 E ATWELL AVENUE,yes,n/a,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,1-2,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,overgrown__inc,fair,No,Yes,Yes,No,Yes,No,No,Disabled vehicle in back,http://ona.io/api/v1/files/1985298?filename=communitymapuga/attachments/1466464384193.jpg,http://ona.io/api/v1/files/1985299?filename=communitymapuga/attachments/1466464406341.jpg,None,None,-81.94740638,32.80527563,3,1,4,Substandard,3,1,1,M14 046281
158,M14 047,Robin ,6/20/2016,318 E ATWELL AVENUE,no,309....Unknown ,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,3-4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,major_cleanup_,poor,No,No,No,No,No,No,Yes,White house with green trim,http://ona.io/api/v1/files/1986331?filename=communitymapuga/attachments/1466464381204.jpg,http://ona.io/api/v1/files/1986332?filename=communitymapuga/attachments/1466464439472.jpg,http://ona.io/api/v1/files/1986330?filename=communitymapuga/attachments/1466464457823.jpg,None,-81.94721766,32.80531817,11,4,15,Dilapidated,0,0,1,M14 047282
159,M14 048,Jacinda,6/20/2016,437 OLD WAYNESBORO ROAD,yes,n/a,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,Yes,No,No,No,yes,1-2,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,satisfactory,good,No,Yes,Yes,No,No,No,Yes,"Hanging door, porch falling in",http://ona.io/api/v1/files/1985300?filename=communitymapuga/attachments/1466464804359.jpg,http://ona.io/api/v1/files/1985301?filename=communitymapuga/attachments/1466464835543.jpg,None,None,-81.94698337,32.80544688,5,2,7,Dilapidated,2,0,1,M14 048283
160,M14 049,Robin ,6/20/2016,0 OLD WAYNESBORO ROAD,yes,n/a,no,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,Unknown,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,overgrown__inc,n/a,No,Yes,No,No,No,Yes,No,Vacant lot,None,None,None,None,-81.94683723,32.80526719,0,0,0,Standard,2,1,1,M14 049284
161,M14 052,Jacinda,6/20/2016,201 OLD WAYNESBORO ROAD,no,403 Old Waynesboro Rd  Mailbox is on Wood Lane,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,Yes,No,No,yes,1-2,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,satisfactory,fair,Yes,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1985282?filename=communitymapuga/attachments/1466459671957.jpg,http://ona.io/api/v1/files/1985283?filename=communitymapuga/attachments/1466459774635.jpg,None,None,-81.94667789,32.80468178,3,1,4,Substandard,2,0,1,M14 052285
162,M14 053,Jacinda,6/20/2016,0 WOOD LANE,no,165,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,1-2,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,major_cleanup_,poor,No,Yes,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/1985284?filename=communitymapuga/attachments/1466460260119.jpg,http://ona.io/api/v1/files/1985285?filename=communitymapuga/attachments/1466460300579.jpg,None,None,-81.947187,32.80477185,8,2,10,Dilapidated,3,1,1,M14 053286
163,M14 054,Jacinda,6/20/2016,159 WOOD LANE,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,Yes,Yes,No,yes,1-2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1985286?filename=communitymapuga/attachments/1466460709882.jpg,None,None,None,-81.94743759,32.80471931,1,0,1,Standard,1,0,1,M14 054287
164,M14 055,Jacinda,6/20/2016,0 WOOD LANE,no,"Not sure of address


",no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,needs_to_be_mo,poor,No,Yes,Yes,No,Yes,No,No,Disabled Church Bus in yard,http://ona.io/api/v1/files/1985287?filename=communitymapuga/attachments/1466461103291.jpg,None,None,None,-81.94769819,32.80466466,1,1,2,Substandard,3,1,1,M14 055288
165,M14 056,Jacinda,6/20/2016,141 WOOD LANE,no,Unknown address,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,overgrown__inc,fair,No,No,No,No,No,No,Yes,"Paint is chipping on house ,exposed wires,Mailbox is severely damaged",http://ona.io/api/v1/files/1985289?filename=communitymapuga/attachments/1466461710724.jpg,http://ona.io/api/v1/files/1985288?filename=communitymapuga/attachments/1466461732911.jpg,None,None,-81.9479509,32.80461167,0,0,0,Standard,0,0,1,M14 056289
166,M14 057,Jacinda ,6/20/2016,0 WOOD LANE,no,Unknown,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,major_cleanup_,n/a,No,No,No,No,No,No,Yes,"Standing water,  truck parking",http://ona.io/api/v1/files/1985290?filename=communitymapuga/attachments/1466462040796.jpg,None,None,None,-81.94813266,32.80457566,0,0,0,Standard,0,0,1,M14 057290
167,M14 062,Robin ,6/20/2016,0 WINTHROPE,yes,n/a,no,Other,n/a,Single family homes on 1 parcel ,vacant_unoccup,one,No,No,No,Yes,yes,four_plus,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,major_cleanup_,poor,Yes,No,No,No,Yes,No,No,Pictures are of rear of homes,http://ona.io/api/v1/files/1986324?filename=communitymapuga/attachments/1466462408450.jpg,http://ona.io/api/v1/files/1986325?filename=communitymapuga/attachments/1466462424667.jpg,None,None,-81.94821445,32.80403614,12,8,20,Dilapidated,2,1,1,M14 062291
168,M14 063,Robin,6/22/2016,322 W WINTHROPE AVENUE,yes,n/a,no,Single family (no garage),n/a,n/a,for_rent,one,No,No,No,Yes,yes,1-2,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,satisfactory,good,Yes,No,No,No,No,No,Yes,Beige house with white shutters,http://ona.io/api/v1/files/2000183?filename=communitymapuga/attachments/1466720129520.jpg,None,None,None,-81.9479827,32.80395084,3,2,5,Dilapidated,1,0,1,M14 063292
169,M14 064,Jacinda,6/23/2016,127 E WINTHROPE AVENUE,yes,n/a,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,1-2,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,needs_to_be_mo,fair,Yes,No,No,No,Yes,No,Yes,None,http://ona.io/api/v1/files/2000167?filename=communitymapuga/attachments/1466720030161.jpg,http://ona.io/api/v1/files/2000166?filename=communitymapuga/attachments/1466720041058.jpg,None,None,-81.94772898,32.80396769,3,2,5,Dilapidated,2,1,1,M14 064293
170,M14 065A,Robin ,6/20/2016,152 WOOD LANE,yes,n/a,no,Mobile home (single parcels),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,overgrown__inc,poor,No,No,Yes,No,Yes,No,No,Owner recently deceased,http://ona.io/api/v1/files/1986315?filename=communitymapuga/attachments/1466460858467.jpg,http://ona.io/api/v1/files/1986316?filename=communitymapuga/attachments/1466460909639.jpg,None,None,-81.94752761,32.80424562,4,1,5,Dilapidated,2,1,1,M14 065A294
171,M14 066,Robin,6/20/2016,327 OLD WAYNESBORO ROAD,yes,n/a,yes,Other,n/a,"Church in front, warehouse storage in back",unknown,one,Yes,No,No,No,yes,1-2,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,needs_to_be_mo,poor,No,No,Yes,No,No,No,Yes,Old hursqurvana building,http://ona.io/api/v1/files/1986305?filename=communitymapuga/attachments/1466459652800.jpg,http://ona.io/api/v1/files/1986307?filename=communitymapuga/attachments/1466459685911.jpg,http://ona.io/api/v1/files/1986306?filename=communitymapuga/attachments/1466459810121.jpg,None,-81.9468082,32.80415365,3,1,4,Substandard,1,0,1,M14 066295
172,M14 067,Robin,6/20/2016,160 WOOD LANE,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,major_cleanup_,poor,No,No,Yes,No,No,Yes,No,Old junk car in yard,http://ona.io/api/v1/files/1986309?filename=communitymapuga/attachments/1466460340635.jpg,http://ona.io/api/v1/files/1986310?filename=communitymapuga/attachments/1466460401218.jpg,None,None,-81.94729177,32.80428165,6,1,7,Dilapidated,2,1,1,M14 067296
173,M14 068,Robin ,6/20/2016,146 WOOD LANE,yes,n/a,no,Single family (detached garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,1-2,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,major_cleanup_,poor,No,No,No,No,No,No,Yes,"Front door hanging, roof covered",http://ona.io/api/v1/files/1986317?filename=communitymapuga/attachments/1466461357737.jpg,http://ona.io/api/v1/files/1986318?filename=communitymapuga/attachments/1466461384120.jpg,None,None,-81.94770068,32.80421699,6,5,11,Dilapidated,0,0,1,M14 068297
174,M14 069,Robin ,6/20/2016,0 WOOD LANE,yes,n/a,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,needs_to_be_mo,n/a,No,No,No,No,No,No,Yes,Empty lot,http://ona.io/api/v1/files/1986319?filename=communitymapuga/attachments/1466461689267.jpg,None,None,None,-81.94786708,32.80419307,0,0,0,Standard,0,0,1,M14 069298
175,M14 070,Robin ,6/20/2016,136 WOOD LANE,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,3-4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,needs_to_be_mo,poor,No,No,Yes,No,Yes,No,No,"Extreme
 Dilapidated conditions ",http://ona.io/api/v1/files/1986321?filename=communitymapuga/attachments/1466461949017.jpg,http://ona.io/api/v1/files/1986320?filename=communitymapuga/attachments/1466461966069.jpg,http://ona.io/api/v1/files/1986322?filename=communitymapuga/attachments/1466461998219.jpg,http://ona.io/api/v1/files/1986323?filename=communitymapuga/attachments/1466462026438.jpg,-81.94803091,32.80416498,13,8,21,Dilapidated,2,1,1,M14 070299
176,M14 072,Jacinda,6/21/2016,518 OLD WAYNESBORO ROAD,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,major_cleanup_,poor,No,No,Yes,No,No,No,Yes,Disabled cars in yard,http://ona.io/api/v1/files/1986333?filename=communitymapuga/attachments/1466547678935.jpg,None,None,None,-81.94665537,32.80625529,2,1,3,Substandard,1,0,1,M14 072300
177,M14 073,Jacinda,6/21/2016,508 OLD WAYNESBORO ROAD,no,Not listed,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,Clean yard,http://ona.io/api/v1/files/1986336?filename=communitymapuga/attachments/1466548083514.jpg,http://ona.io/api/v1/files/1986335?filename=communitymapuga/attachments/1466548099336.jpg,None,None,-81.94646285,32.80663957,0,0,0,Standard,0,0,1,M14 073301
178,M14 074,Jacinda,6/21/2016,0 OLD WAYNESBORO ROAD,no,Unknown,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,major_cleanup_,poor,No,No,Yes,No,No,No,Yes,Car parts in yard,None,None,None,None,-81.94635913,32.80631356,2,1,3,Substandard,1,0,1,M14 074302
179,M14 075,Jacinda,6/21/2016,530 OLD WAYNESBORO ROAD,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,major_cleanup_,poor,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/1986339?filename=communitymapuga/attachments/1466548318981.jpg,None,None,None,-81.94675892,32.80656432,5,2,7,Dilapidated,2,1,1,M14 075303
180,M15 024,K,6/6/2016,124 W WINTHROPE AVENUE,no,None,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,Yes,No,Yes,No,No,No,Yes,None,http://ona.io/api/v1/files/1976627?filename=communitymapuga/attachments/1466429675639.jpg,http://ona.io/api/v1/files/1976629?filename=communitymapuga/attachments/1466429707337.jpg,http://ona.io/api/v1/files/1976628?filename=communitymapuga/attachments/1466429737321.jpg,None,-81.9478162,32.80339105,2,0,2,Substandard,2,0,1,M15 024304
181,M18 002,Pam,6/21/2016,0 HWY 25 NORTH,no,Unknown,no,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,four_plus,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,needs_to_be_mo,n/a,No,No,No,No,No,No,Yes,Vacant lot,None,None,None,None,-81.94557372,32.81842526,0,0,0,Standard,0,0,1,M18 002305
182,M18 005,Pam,6/21/2016,1399 RAILROAD STREET,no,Unsure,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,no,four_plus,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1982329?filename=communitymapuga/attachments/1466518010399.jpg,None,None,None,-81.94540822,32.81753607,2,0,2,Substandard,0,0,1,M18 005306
183,M18 009,K,6/21/2016,0 RAILROAD STREET,no,1379 Railroad ,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,four_plus,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,satisfactory,poor,No,Yes,Yes,No,Yes,Yes,No,None,http://ona.io/api/v1/files/1987429?filename=communitymapuga/attachments/1466518385254.jpg,http://ona.io/api/v1/files/1987430?filename=communitymapuga/attachments/1466518398832.jpg,http://ona.io/api/v1/files/1987428?filename=communitymapuga/attachments/1466518423198.jpg,None,-81.94543123,32.81698628,1,5,6,Dilapidated,4,2,1,M18 009307
