,Parcel_No,review,date_2016,address,add_ver,add_rev,add_corr,proptype,units,othertype,propstatus,#_stories,add_mlbox,add_house,add_marker,add_notvis,stsign_vis,streetligh,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_STEPS,MIN_PORCH,MIN_SKIRT,MIN_RAILS,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_SKIRT,Yard,condition,sidewalks,trees,junk,lit_ditch,lit_yard,lit_officials,lit_none,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,conditions,other_tot,lit_tot,ParcCount,rec_id
337,M21 042,Jacinda,6/21/2016,905 HERNDON/BROWN,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,No,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1986348?filename=communitymapuga/attachments/1466553027055.jpg,None,None,None,-81.95139442,32.810247,0,0,0,Standard,0,0,2,M21 04271
338,M21 042,Polly Dailey,6/23/2016,905 HERNDON/BROWN,yes,n/a,yes,Single family (detached garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1997246?filename=communitymapuga/attachments/1466708967621.jpg,http://ona.io/api/v1/files/1997247?filename=communitymapuga/attachments/1466709121945.jpg,None,None,-81.95182046,32.80993924,0,0,0,Standard,0,0,2,M21 04272
339,M21 043,Robin,6/21/2016,0 HERNDON/BROWN,no,843 Herndon St,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,satisfactory,poor,No,No,Yes,No,Yes,No,No,Corner of Herndon and brown. Several old cars in yard,http://ona.io/api/v1/files/2000179?filename=communitymapuga/attachments/1466634513656.jpg,http://ona.io/api/v1/files/2000180?filename=communitymapuga/attachments/1466634528789.jpg,None,None,-81.95153916,32.80973675,2,2,4,Dilapidated,2,1,2,M21 04373
340,M21 043,Art,6/23/2016,0 HERNDON/BROWN,no,843 Herndon Street,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,satisfactory,fair,No,No,Yes,No,Yes,Yes,No,OrWindows need painting. Tires ànd junk cars in back. ,http://ona.io/api/v1/files/1997239?filename=communitymapuga/attachments/1466704933294.jpg,http://ona.io/api/v1/files/1997240?filename=communitymapuga/attachments/1466704974143.jpg,None,None,-81.95148388,32.80971691,0,1,1,Substandard,3,2,2,M21 04374
341,M21 044,Polly Dailey,6/23/2016,835 HERNDON STREET,yes,n/a,yes,Single family (attached garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1997290?filename=communitymapuga/attachments/1466705038821.jpg,None,None,None,-81.95143278,32.80937376,0,0,0,Standard,1,0,2,M21 04475
342,M21 044,Art,6/23/2016,835 HERNDON STREET,no,Don't  know,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1997244?filename=communitymapuga/attachments/1466708822958.jpg,None,None,None,-81.95150389,32.80933104,0,0,0,Standard,0,0,2,M21 04476
353,M21 058,Jacinda,6/22/2016,342 ACORN AVENUE,no,413 Cooper Ave,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,1-2,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2000161?filename=communitymapuga/attachments/1466634249863.jpg,None,None,None,-81.95271605,32.80799914,7,5,12,Dilapidated,0,0,2,M21 05877
354,M21 058,Allison Drew ,6/24/2016,342 ACORN AVENUE,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,3-4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002407?filename=communitymapuga/attachments/1466776299297.jpg,http://ona.io/api/v1/files/2002408?filename=communitymapuga/attachments/1466776305921.jpg,None,None,-81.95253637,32.80835085,0,0,0,Standard,0,0,2,M21 05878
360,M21 066,Angela Moore ,6/24/2016,331 ACORN AVENUE,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002406?filename=communitymapuga/attachments/1466776498331.jpg,http://ona.io/api/v1/files/2002405?filename=communitymapuga/attachments/1466776566611.jpg,None,None,-81.95258025,32.80895318,1,0,1,Standard,0,0,2,M21 06679
361,M21 066,Allison Drew ,6/24/2016,331 ACORN AVENUE,yes,n/a,no,Mobile home (multiple parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,3-4,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002410?filename=communitymapuga/attachments/1466776533523.jpg,None,None,None,-81.95238693,32.80875408,4,0,4,Dilapidated,0,0,2,M21 06680
371,M21 078,Jacinda,6/21/2016,319 BROWN AVENUE,yes,n/a,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,overgrown__inc,poor,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1986349?filename=communitymapuga/attachments/1466553538537.jpg,None,None,None,-81.95196582,32.81027296,10,4,14,Dilapidated,1,0,2,M21 07881
372,M21 078,Polly Dailey,6/23/2016,319 BROWN AVENUE,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,Yes,No,No,No,No,Yes,Mobile Home in back of lot.,http://ona.io/api/v1/files/1997253?filename=communitymapuga/attachments/1466709472596.jpg,None,None,None,-81.95183198,32.80981277,0,0,0,Standard,1,0,2,M21 07882
380,M21 084A,Allison Drew ,6/24/2016,421 TUBMAN LANE,yes,n/a,no,Mobile home (multiple parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,major_cleanup_,poor,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2002455?filename=communitymapuga/attachments/1466782042816.jpg,http://ona.io/api/v1/files/2002456?filename=communitymapuga/attachments/1466782049433.jpg,None,None,-81.95409304,32.81039574,2,3,5,Dilapidated,2,1,2,M21 084A83
381,M21 084A,Angela Moore ,6/24/2016,421 TUBMAN LANE,yes,n/a,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002474?filename=communitymapuga/attachments/1466782318276.jpg,None,None,None,-81.95401253,32.81006211,0,0,0,Standard,0,0,2,M21 084A84
382,M21 084B,Jacinda,6/22/2016,413 TUBMAN LANE,no,Unknown ,no,Single family (no garage),n/a,n/a,unknown,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,major_cleanup_,poor,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2000165?filename=communitymapuga/attachments/1466635677462.jpg,None,None,None,-81.95319066,32.81023802,0,4,4,Dilapidated,2,1,2,M21 084B85
383,M21 084B,Allison Drew ,6/24/2016,413 TUBMAN LANE,no,Unknown,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,Unknown,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,overgrown__inc,n/a,No,No,No,No,Yes,No,No,None,http://ona.io/api/v1/files/2002466?filename=communitymapuga/attachments/1466782456641.jpg,None,None,None,-81.9535498,32.80990644,0,0,0,Standard,1,1,2,M21 084B86
391,M21 089,Jacinda,6/21/2016,0 COOPER LANE,no,Unknown ,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1986359?filename=communitymapuga/attachments/1466554719673.jpg,None,None,None,-81.95374645,32.80941477,2,2,4,Dilapidated,0,0,2,M21 08987
392,M21 089,Allison Drew ,6/24/2016,0 COOPER LANE,no,Unknown,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,major_cleanup_,n/a,No,Yes,No,No,Yes,No,No,None,http://ona.io/api/v1/files/2002443?filename=communitymapuga/attachments/1466780931323.jpg,None,None,None,-81.95376009,32.80974162,0,0,0,Standard,2,1,2,M21 08988
394,M21 091,Jacinda,6/21/2016,0 COOPER LANE,no,Unknown ,no,Mobile home (single parcels),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,needs_to_be_mo,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1986354?filename=communitymapuga/attachments/1466554568488.jpg,None,None,None,-81.95405629,32.80916861,1,1,2,Substandard,0,0,2,M21 09189
