Parcel_ID,review,date,address,add_ver,add_rev,add_corr,proptype,units,othertype,propstatus,stories,add_mlbox,add_house,add_marker,add_Notvis,stsign_vis,streetligh,MIN_No,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_STEPS,MIN_PORCH,MIN_SKIRT,MIN_RAILS,MAJ_No,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_SKIRT,Yard,GeneralCon,sidewalks,trees,junk,lit_ditch,lit_yard,lit_officials,lit_None,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,lit_total,rec_id,ParcCount
M20 063,K,6/21/2016,0 MAE COURT,no,413 Mae Ct,yes,single_family__no_garage,No,No,occupied,one,Yes,No,No,No,Yes,one_two,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,overgrown__inc,poor,No,Yes,Yes,No,Yes,No,No,No,http://classic.o.io/api/v1/files/1987501?fileme=communitymapuga/attachments/1466524382121.jpg,http://classic.o.io/api/v1/files/1987502?fileme=communitymapuga/attachments/1466524390791.jpg,http://classic.o.io/api/v1/files/1987500?fileme=communitymapuga/attachments/1466524410687.jpg,NA,-81.95494485,32.81195112,4,5,9,Dilapidated,2,NA,5f405fe7-3006-4cca-9630-fca0cf5351c9,1
M20 071,K,6/21/2016,610 JENNIFER LANE,no,Unknown,no,mobile_home_single_parcels,No,No,occupied,one,No,No,No,Yes,Yes,one_two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1987511?fileme=communitymapuga/attachments/1466530587818.jpg,http://classic.o.io/api/v1/files/1987510?fileme=communitymapuga/attachments/1466530610235.jpg,http://classic.o.io/api/v1/files/1987512?fileme=communitymapuga/attachments/1466530620336.jpg,NA,-81.95638806,32.81108173,0,3,3,Dilapidated,0,NA,b29d034c-82a2-48c8-9f14-bd3e6b92f4a3,1
M20 064,K,6/21/2016,0 JEANETTE DRIVE,no,"Unknown
1118 Jeannette Dr",yes,mobile_home_single_parcels,No,No,vacant_unoccup,one,No,No,No,Yes,Yes,one_two,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,satisfactory,poor,No,No,No,Yes,Yes,No,No,No,http://classic.o.io/api/v1/files/1987519?fileme=communitymapuga/attachments/1466531306920.jpg,http://classic.o.io/api/v1/files/1987518?fileme=communitymapuga/attachments/1466531342503.jpg,http://classic.o.io/api/v1/files/1987517?fileme=communitymapuga/attachments/1466531359250.jpg,NA,-81.95557121,32.81200153,1,5,6,Dilapidated,0,NA,9a81a882-7805-4726-96a8-85e447293900,1
M20 061,K,6/21/2016,1136 JEANETTE DRIVE,yes,NA,yes,mobile_home_single_parcels,No,No,occupied,one,Yes,No,No,No,Yes,one_two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,Yes,No,No,No,Yes,No,http://classic.o.io/api/v1/files/1987524?fileme=communitymapuga/attachments/1466531587235.jpg,http://classic.o.io/api/v1/files/1987525?fileme=communitymapuga/attachments/1466531598102.jpg,http://classic.o.io/api/v1/files/1987523?fileme=communitymapuga/attachments/1466531607033.jpg,NA,-81.95555827,32.81237619,0,0,0,Standard,1,NA,9d7df4da-29fa-4955-8eb3-325e7dfe4e1c,1
M20 060,K,6/21/2016,1138 JEANETTE DRIVE,yes,NA,yes,mobile_home_single_parcels,No,No,occupied,one,Yes,No,No,No,Yes,one_two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,No,http://classic.o.io/api/v1/files/1987527?fileme=communitymapuga/attachments/1466531742950.jpg,http://classic.o.io/api/v1/files/1987528?fileme=communitymapuga/attachments/1466531748625.jpg,http://classic.o.io/api/v1/files/1987526?fileme=communitymapuga/attachments/1466531758803.jpg,NA,-81.95553871,32.81275833,0,0,0,Standard,0,NA,b5c645d2-9134-45bf-9633-fde02de0ab0f,1
M20 079,K,6/21/2016,521 JOSH COURT,no,Unknown,no,mobile_home_single_parcels,No,No,occupied,one,No,No,No,Yes,Yes,one_two,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,satisfactory,fair,No,No,No,No,Yes,No,No,No,http://classic.o.io/api/v1/files/1987531?fileme=communitymapuga/attachments/1466532044662.jpg,http://classic.o.io/api/v1/files/1987530?fileme=communitymapuga/attachments/1466532071027.jpg,http://classic.o.io/api/v1/files/1987529?fileme=communitymapuga/attachments/1466532084078.jpg,NA,-81.95552118,32.81321416,3,3,6,Dilapidated,0,NA,c38a336c-df04-4c3c-b5b9-10cb570607ad,1
M20 081,K,6/21/2016,1218 JEANETTE DRIVE,yes,NA,yes,single_family__no_garage,No,No,occupied,one,No,Yes,No,No,Yes,one_two,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,satisfactory,poor,No,Yes,Yes,No,No,No,Yes,No,http://classic.o.io/api/v1/files/1987534?fileme=communitymapuga/attachments/1466532414197.jpg,http://classic.o.io/api/v1/files/1987533?fileme=communitymapuga/attachments/1466532429113.jpg,http://classic.o.io/api/v1/files/1987535?fileme=communitymapuga/attachments/1466532445812.jpg,NA,-81.95550829,32.8134889,1,6,7,Dilapidated,2,NA,ae295a39-21da-4b77-a9d4-c68586bdad67,1
M20 086,K,6/21/2016,0 JEANETTE DRIVE,no,1244 Jeannette dr,yes,mobile_home_single_parcels,No,No,occupied,one,Yes,No,No,No,Yes,three_four,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,satisfactory,fair,No,No,Yes,Yes,No,No,No,No,http://classic.o.io/api/v1/files/1987539?fileme=communitymapuga/attachments/1466532679513.jpg,http://classic.o.io/api/v1/files/1987538?fileme=communitymapuga/attachments/1466532686732.jpg,http://classic.o.io/api/v1/files/1987537?fileme=communitymapuga/attachments/1466532700183.jpg,http://classic.o.io/api/v1/files/1987536?fileme=communitymapuga/attachments/1466532754044.jpg,-81.95546366,32.81437944,3,2,5,Dilapidated,1,NA,690c3f99-301a-428b-a02c-592cdf9d85e1,1
M24 005A,Katherine,6/21/2016,544 MLKJ AVENUE,yes,NA,yes,single_family__no_garage,No,No,occupied,one,No,Yes,No,No,No,one_two,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,good,No,No,Yes,No,No,No,Yes,No,http://classic.o.io/api/v1/files/1987543?fileme=communitymapuga/attachments/1466534562910.jpg,http://classic.o.io/api/v1/files/1987544?fileme=communitymapuga/attachments/1466534570687.jpg,http://classic.o.io/api/v1/files/1987542?fileme=communitymapuga/attachments/1466534585227.jpg,NA,-81.95664987,32.80952767,1,0,1,Standard,1,NA,09faace5-a5c8-487f-88d5-c1526396c2b0,1
M20 104,Mandy,6/23/2016,315 MLKJ AVENUE,yes,NA,yes,single_family__no_garage,No,No,occupied,one,No,No,No,Yes,Yes,one_two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,fair,Yes,No,No,No,No,No,Yes,None,http://classic.o.io/api/v1/files/1997127?fileme=communitymapuga/attachments/1466704689260.jpg,http://classic.o.io/api/v1/files/1997128?fileme=communitymapuga/attachments/1466704753729.jpg,http://classic.o.io/api/v1/files/1997129?fileme=communitymapuga/attachments/1466704802560.jpg,NA,-81.95202791,32.81024887,0,0,0,Standard,1,NA,3dfe3c84-0d1b-4c8f-8ed0-e2dce2936818,1
M20 105,Becky,6/23/2016,0 MLKJ AVENUE,no,307 MLKJr,yes,single_family_att_garage,No,No,occupied,one,No,Yes,No,No,Yes,one_two,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,Yes,No,Yes,No,No,No,Yes,Tires in backyard.,http://classic.o.io/api/v1/files/1997134?fileme=communitymapuga/attachments/1466704548349.jpg,http://classic.o.io/api/v1/files/1997135?fileme=communitymapuga/attachments/1466704577479.jpg,http://classic.o.io/api/v1/files/1997133?fileme=communitymapuga/attachments/1466704765539.jpg,NA,-81.95174114,32.81022172,2,0,2,Substandard,2,NA,09515dd6-df0b-4c48-9cd0-cab685025c8d,1
M21 010,Polly Dailey,6/23/2016,213 DREXEL AVENUE,yes,NA,yes,single_family_att_garage,No,No,occupied,one,No,Yes,No,No,Yes,one_two,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,overgrown__inc,poor,No,Yes,Yes,No,Yes,No,No,Junk car in yard.,http://classic.o.io/api/v1/files/1997137?fileme=communitymapuga/attachments/1466688910097.jpg,http://classic.o.io/api/v1/files/1997136?fileme=communitymapuga/attachments/1466688932526.jpg,http://classic.o.io/api/v1/files/1997138?fileme=communitymapuga/attachments/1466688958361.jpg,NA,-81.95054285,32.80728206,1,1,2,Substandard,2,NA,85b2aced-881c-4f92-b119-f67bbb3921b5,1
