Parcel_ID,review,date,address,add_ver,add_rev,proptype,othertype,propstatus,stories,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_RAILS,MIN_PORCH,MIN_PORJUNK,MIN_CHIMN,MIN_PAINT,MIN_GUTTER,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_CHIMN,YARD_SATIS,YARD_MOW,YARD_OVRGR,YARD_VHINOP,YARD_VHPARK,YARD_GRCOV,YARD_MAJCL,GeneralCon,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,ParcCount,rec_id,Landlord
M0120097000,Jamie,6/7/2016,No,No,118 Bold Springs Av,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,No house numbers,http://classic.ona.io/api/v1/files/2035259?filename=communitymapuga/attachments/1465314102497.jpg,No,No,No,-83.71237162,33.79848774,0,0,0,Standard,0,1,M0120097000282,0
M0140203000,Taylor,6/7/2016,No,No,258 N Midland Av,Duplex,No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035260?filename=communitymapuga/attachments/1465311033587.jpg,No,No,No,-83.71174333,33.79812009,0,0,0,Standard,0,1,M0140203000429,0
M0120095000,Jamie,6/7/2016,No,No,111 Bold Springs Av,Single family (garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035261?filename=communitymapuga/attachments/1465314307768.jpg,No,No,No,-83.71312742,33.79883093,0,0,0,Standard,0,1,M0120095000281,0
M0120098000,Taylor,6/7/2016,No,No,304 n Midland av,Single family (no garage),No,OCCUP,one,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035262?filename=communitymapuga/attachments/1465311285030.jpg,No,No,No,-83.71191635,33.79862465,1,0,1,Standard,0,1,M0120098000283,0
M0120094000,Jamie,6/7/2016,No,No,109 Bold Springs Av,Single family (no garage),No,OCCUP,one,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035263?filename=communitymapuga/attachments/1465314613165.jpg,No,No,No,-83.71330044,33.79861623,1,0,1,Standard,0,1,M0120094000280,0
M0120102000,Taylor,6/7/2016,No,No,301 Edward's Street,Single family (garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035264?filename=communitymapuga/attachments/1465311781373.jpg,No,No,No,-83.71128374,33.79867977,0,0,0,Standard,0,1,M0120102000286,0
M0140001000,Jamie,6/7/2016,No,No,301 Broad St,Single family (no garage),No,OCCUP,two,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035265?filename=communitymapuga/attachments/1465315031060.jpg,No,No,No,-83.71436948,33.7979503,1,0,1,Standard,0,1,M0140001000381,0
M0120104000,Taylor,6/7/2016,No,No,307 Edward's St,Single family (no garage),No,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035266?filename=communitymapuga/attachments/1465311986228.jpg,No,No,No,-83.71091954,33.79900345,0,0,0,Standard,0,1,M0120104000288,0
M0160075000,Taylor,6/7/2016,No,No,210 Boulevard,Single family (garage),No,OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,No,http://classic.ona.io/api/v1/files/2035267?filename=communitymapuga/attachments/1465332129895.jpg,No,No,No,-83.71333835,33.78878986,0,0,0,Standard,0,1,M0160075000494,0
M0120105000,Taylor,6/7/2016,No,No,311 Edwards St,Single family (no garage),No,OCCUP,two,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Fair,No,http://classic.ona.io/api/v1/files/2035272?filename=communitymapuga/attachments/1465312152571.jpg,No,No,No,-83.71066817,33.79909468,1,1,2,Substandard,0,1,M0120105000289,0
