record_id,parcel_num,date,primary_city
c8e42c2d-0daf-4fbf-a3da-8c9422e1fd32,A13    043,2018-08-22,cochran
743595b2-bb00-4536-b7b2-69d593262c8c,A13    082,2018-08-22,cochran
9c54d391-fb59-483f-bc08-28e087264cb4,A13    040,2018-08-22,cochran
774061e9-a396-4428-b93c-75fb9c5e985c,A13    075,2018-08-22,cochran
2d740511-06d1-4256-b92f-f452cbd6381c,A13    038,2018-08-22,cochran
8ba51a32-8cbf-4f5b-a026-86c7fe1b3d7b,A13    039,2018-08-22,cochran
f65d6c2c-8e37-498c-8640-a843e1c2302b,A13    081,2018-08-22,cochran
2a039553-eec8-4f49-8dea-2b5059468bfe,A13    076,2018-08-22,cochran
e3d0ef2f-5a71-4667-aba5-ab731722f68e,A13    034,2018-08-23,cochran
50734bc5-c19b-46dc-ae46-1d9e822e443a,A13    093,2018-08-23,cochran
fb7815ac-2588-4425-bb31-ac82b6871943,A13    012,2018-08-23,cochran
5f2ad4f7-4315-44e4-a875-e1d2cb32ffbc,A13    096,2018-08-23,cochran
9450ef56-2808-4d55-a043-82c3804149f8,A13    036,2018-08-23,cochran
bb7be72f-cfe8-46d1-a305-97d9d27b56db,A13    024,2018-08-23,cochran
fcff83c9-51b8-4f7e-a7cd-67de99ddbd76,A13    033,2018-08-23,cochran
e4a0c566-be58-4446-9bc7-4043e9fd8af0,A13    033,2018-08-23,cochran
9190cda4-a6d3-4aa2-9ba1-fb41fb30774f,A13    039,2018-08-23,cochran
b3a4ddde-5772-4466-b071-f418e03ff500,A13    022,2018-08-23,cochran
844730a3-c47f-49d0-a457-711a108d7998,A13    032,2018-08-23,cochran
05159250-4e6e-431a-bbc1-a4fae1eccada,A07    086,2018-08-23,cochran
cb9ec332-b085-42e4-bc15-3ef39826eef7,A13    017,2018-08-23,cochran
a63ab171-fa24-4dd8-a519-533b9dd46e03,A13    020,2018-08-23,cochran
b415fd60-60c2-439d-a11e-3e2bf3bda0d3,A13    027,2018-08-23,cochran
dbbd4471-570f-4e37-91c9-c977ff4dba5e,A13    028,2018-08-23,cochran
c70f05b2-c13c-42fc-89cb-fe1c48a63986,A13    049,2018-08-23,cochran
4bd7fdfc-1659-4e7c-8ae3-71045a7c0003,A07    085,2018-08-23,cochran
8e070b68-7104-460b-a5ab-52938921306b,A13    021,2018-08-23,cochran
726e5e18-8ae1-490d-8bce-31e4388556de,A13    024,2018-08-23,cochran
003549c3-bb78-44bb-887f-8f9fb9f7c385,A13    093,2018-08-23,cochran
4d3630a9-7b0b-4d14-8eb7-b656a1d1a023,A07    048,2018-08-23,cochran
