repropkey,realkey,digclass,digstrat,occupancy,yr_built,efyr_built,grade,obsv_cond,no_bedrms,no_rooms,foundation,ext_walls,roofing,roof_shape,floor_cons,b_a_opt,sqb_area,sqb_fin,sqa_area,sqa_fin,db_desc,db_fin,basemtqual,d_attic,atticqual,floor_fin,int_wall,int_ceil,heat,pl_std,pl_xtra,fullbaths,halfbaths,stht_code,heatedarea,pfunc_dep,pec_dep,pcom,phy_dep,phy_ovr,ovr_val,timp_val,ovr_rsn,cdu,ovrdate,adj_points,apprname,rcn,calc_value,exists,sketch,photo,statehsflg,mavorig,mav,house_no,extension,stdirect,street_nam,sttype,unit,quad,mavovr,sb346val,localhsflg,sb346add
845,1316,R,1,1,1990,1990,1.15,3,3,9,1,2,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,5,2,1,0,2150,1.00,1.00,1.00,0.78,0.00,0,133536,,1.00,18991230,1712.00,"CLEGG BAZEMORE, AVTACS",171200,133536,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
846,1322,R,1,4,0,0,0.00,0,0,0,0,0,0,0,0,1,0,0.00,0,0.00,0,0,3,0,3,0,0,0,0,0,0,0,0,1,1536,1.00,1.00,1.00,0.00,0.00,0,11093,,1.00,18991230,0.00,"MARC BOHN, AVTACS",0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0
847,1323,R,1,4,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1.00,1.00,1.00,0.00,0.00,0,16511,,1.00,18991230,0.00,"MARC BOHN, AVTACS",0,10988,0,0,0,0,0,0,0,,,,,,,0,0,0,0
848,1325,R,1,1,1966,1976,0.90,3,3,5,1,2,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,1,944,1.00,1.00,1.00,0.55,0.00,0,33330,,1.00,18991230,606.00,"MARC BOHN, AVTACS",60600,0,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
849,1326,R,1,1,1964,1984,1.00,3,0,6,1,1,1,3,1,2,729,1.00,0,0.00,2,4,3,1,3,2,1,8,1,1,3,2,0,1,2010,1.00,1.00,1.00,0.69,0.00,0,84180,,1.00,18991230,1220.00,CHRIS KIGHT - AVTACS,122000,84180,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
850,1327,R,1,1,1950,1972,0.70,2,3,5,1,2,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,1,1574,1.00,1.00,1.00,0.29,0.00,0,19546,,1.00,18991230,674.00,"CLEGG BAZEMORE, AVTACS",67400,19546,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
851,1328,R,1,1,1978,1978,1.10,3,3,6,1,2,1,2,1,2,0,0.00,504,1.00,1,1,3,1,3,2,1,8,1,1,3,2,0,0,2203,1.00,1.00,1.00,0.58,0.00,0,87000,,1.00,18991230,1500.00,"MARC BOHN, AVTACS",150000,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
852,1330,R,1,1,1957,1977,0.95,3,0,6,1,8,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,11,4,8,1,1,3,2,0,1,1482,1.00,1.00,1.00,0.56,0.00,0,51184,,1.00,18991230,914.00,"CLEGG BAZEMORE, AVTACS",91400,51184,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
853,1331,R,1,1,1975,1980,0.90,3,3,6,1,1,1,3,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,1,1512,1.00,1.00,1.00,0.62,0.00,0,58156,,1.00,18991230,938.00,"MARC BOHN, AVTACS",93800,58156,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
854,7106,R,1,1,1992,1995,1.10,3,3,6,1,10,3,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,2022,1.00,1.00,1.00,0.84,0.00,0,124488,,1.00,18991230,1482.00,"MARC BOHN, AVTACS",148200,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
