fulcrum_id,parcel_num,prop_add,prop_type_name,genprop,condition,comments,lat,long,photo1,photo2,photo3,photo4,var,value
f41b087a-adf6-438b-b50a-da6ca23b59ba,W18    016,253 S WHITEHEAD ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.40368824630864,-82.65740253415966,44de5653-b6f2-4f23-bbdf-7734e7098b11,blank,blank,blank,exterior,ext_good
1f4c8440-b623-43b5-a34c-754aa527c069,W18    015,216 S WHITEHEAD ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.4041507622446,-82.65727598970338,3ed09d34-4832-45ba-925c-4b6849d7129c,blank,blank,blank,exterior,ext_good
f99b6430-779e-406e-b656-82a1bd756ef6,W17    101,152 S WHITEHEAD ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.40498726539565,-82.65712203155798,70363530-9e88-47b6-b550-038caf0b367e,blank,blank,blank,exterior,ext_good
33e296e1-a37a-4174-8629-c46d30e09c8b,W17    102,132 S WHITEHEAD ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.405246562716805,-82.65713153951639,0188dc26-f519-4078-af8e-7e41102dbb4b,blank,blank,blank,exterior,ext_good
efcac9d7-e67b-4f50-b32d-9e86c8cdf349,W17    089,248 JOHNSON ST,"Single family home, detached garage",Occupied   ,well maintained,blank,33.40563527822568,-82.65714571717507,86931c6a-4f69-421d-aecf-5ff6a464b73f,blank,blank,blank,exterior,ext_good
9d9771be-2603-476b-a489-ae2f1ae45320,W17    067,251 JOHNSON ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.40627952195831,-82.65717063635405,5d546e40-d6db-461f-9d66-9c1d3f8c7339,blank,blank,blank,exterior,ext_good
77aff770-695c-4464-ab33-c1cb5dfd9336,W17    069,71 WILHOIT ST,"Single family home, detached garage",Occupied   ,well maintained,blank,33.40610553056047,-82.65814552580939,28b0b313-60ac-4fb2-b21d-31d4349684e3,blank,blank,blank,exterior,ext_good
bda2ad77-8390-45c3-ad85-c1bd138b2d1e,W17    086,190 WILHOIT ST,"Single family home, detached garage",Occupied   ,well maintained,blank,33.40573508426152,-82.65816962441403,fba1c3ca-9069-4190-b364-822f1600efd3,blank,blank,blank,exterior,ext_good
ec2f2c8b-a033-4dd2-b2d1-c673314445e9,W17    104,115 WILHOIT ST,"Single family home, detached garage",Occupied   ,well maintained,blank,33.4054755943289,-82.65815937165495,02ef4444-cda5-4b1e-9b8b-6de3609b59c4,blank,blank,blank,exterior,ext_good
91c629df-31a9-4efa-b984-ca7a8478d46e,W17    106,151 WILHOIT ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.4049244880668,-82.6579724108094,b3a39f89-a1aa-4860-a1b4-b8e872e6fbbd,blank,blank,blank,exterior,ext_good
db13ab10-22ca-4752-a7b4-7db570846df3,W17    103,268 HUBERT ST,"Single family home, no garage",Occupied   ,minor repairs needed,blank,33.40510622867433,-82.65747062251654,ed285bc2-a8b5-4abe-84ca-2c723f82485b,blank,blank,blank,exterior,ext_repaint
